ID,NOM,VILLE,ETAT,LATITUDE,LONGITUDE,A_DISTANCE_SEULEMENT,NOMBRE_ETUDIANTS,AGE_ENTREE,COUT_MOYEN_ANNEE_ACADEMIE,TAUX_ADMISSION,DEFAUT_PAIEMENT_2ANNEES,DEFAUT_PAIEMENT_3ANNEES
174800,Rockford University,Rockford,IL,42.270639,-89.019536,0.0,378,22.71331058,40569.0,0.4903,0.049,0.065
174900,Roosevelt University,Chicago,IL,41.876055,-87.624952,0.0,1214,23.781359495,43501.0,0.6485,0.067,0.067
175000,Dominican University,River Forest,IL,41.902678,-87.823003,0.0,681,21.659727782,41118.0,0.6379,0.039,0.049
980000,Rush University,Chicago,IL,41.874742,-87.668581,0.0,42,27.674157303,,,0.003,0.003
624000,Saint Francis Medical Center College of Nursing,Peoria,IL,40.701241,-89.590322,0.0,117,25.902702703,,,0.027,0.037
166400,University of St Francis,Joliet,IL,41.532225,-88.096057,0.0,455,23.167130919,40305.0,0.4678,0.034,0.042
3098000,St. John's College-Department of Nursing,Springfield,IL,39.807602,-89.64532,0.0,57,28.360465116,,,0.0,0.0
176800,Saint Xavier University,Chicago,IL,41.707199,-87.714749,0.0,898,21.661971831,40553.0,0.7395,0.041,0.065
933300,University of Illinois at Springfield,Springfield,IL,39.729524,-89.616796,0.0,785,25.824757644,23955.0,0.5282,0.053,0.051
175200,Sauk Valley Community College,Dixon,IL,41.817659,-89.596483,0.0,488,23.904336735,12269.0,,0.135,0.135
769300,Shawnee Community College,Ullin,IL,37.270198,-89.03352,0.0,350,23.518699187,17732.0,,0.0,
2185400,Saint Augustine College,Chicago,IL,41.972414,-87.662806,0.0,495,29.011614402,19146.0,,0.0,
176500,University of Saint Mary of the Lake,Mundelein,IL,42.280702,-88.000262,0.0,,,,,0.111,0.062
175700,Southeastern Illinois College,Harrisburg,IL,37.75174,-88.436631,0.0,244,23.076023392,12555.0,,0.142,
3128500,National Latino Education Institute,Chicago,IL,41.822756,-87.675917,0.0,38,23.507462687,,0.6364,0.051,0.163
166300,Spertus College,Chicago,IL,41.873881,-87.624785,0.0,PrivacySuppressed,,,,0.065,0.098
164300,Spoon River College,Canton,IL,40.527991,-90.07233,0.0,434,23.171532847,15161.0,,0.138,0.185
998700,Saint Anthony College of Nursing,Rockford,IL,42.310147,-88.991968,0.0,96,27.081967213,,0.0,0.0,0.009
825900,Educators of Beauty College of Cosmetology-Sterling,Sterling,IL,41.788581,-89.692522,0.0,85,23.818181818,,,0.049,0.102
175800,Southern Illinois University-Carbondale,Carbondale,IL,37.714193,-89.217273,0.0,3786,22.183824929,27945.0,0.7185,0.076,0.112
175900,Southern Illinois University-Edwardsville,Edwardsville,IL,38.793949,-89.997779,0.0,2974,21.766168149,23065.0,0.8744,0.049,0.061
1181000,Taylor Business Institute,Chicago,IL,41.885452,-87.62671,0.0,83,26.475609756,22850.0,0.8767,0.076,0.168
2073200,Telshe Yeshiva-Chicago,Chicago,IL,41.975536,-87.71755,0.0,10,19.5,18100.0,1.0,0.0,
176900,South Suburban College,South Holland,IL,41.606427,-87.619123,0.0,1511,24.545640606,10743.0,,0.0,
1069500,Tri-County Beauty Academy,LITCHFIELD,IL,39.176137,-89.655742,0.0,15,26.571428571,,,0.142,0.12
177100,Trinity Christian College,Palos Heights,IL,41.667687,-87.783973,0.0,369,24.575364668,41697.0,0.6423,0.035,0.049
177200,Trinity International University-Illinois,Deerfield,IL,42.197945,-87.880851,0.0,272,26.555335968,44084.0,0.7303,0.047,0.044
177300,Triton College,River Grove,IL,41.916082,-87.841056,0.0,1875,23.500610874,10437.0,,0.076,0.139
2124400,University of Spa & Cosmetology Arts,Springfield,IL,39.76672,-89.710839,0.0,120,25.736462094,,,0.065,0.118
177800,VanderCook College of Music,Chicago,IL,41.836833,-87.629138,0.0,34,20.340425532,37568.0,0.931,0.121,0.0
693100,Waubonsee Community College,Sugar Grove,IL,41.795955,-88.459925,0.0,1658,23.686705599,9465.0,,0.126,0.086
2214100,Resurrection University,Chicago,IL,41.90748,-87.685291,0.0,222,28.418079096,,,0.006,0.017
178000,Western Illinois University,Macomb,IL,40.468086,-90.686899,0.0,2673,21.565811556,25686.0,0.5878,0.051,0.095
178100,Wheaton College,Wheaton,IL,41.870176,-88.099643,0.0,422,19.610803324,47644.0,0.8265,0.01,0.009
396100,William Rainey Harper College,Palatine,IL,42.081829,-88.072811,0.0,2292,23.724360566,12504.0,,0.152,0.084
178400,Ancilla College,Donaldson,IN,41.337958,-86.445263,0.0,184,21.796167247,25730.0,0.6921,0.144,0.177
178500,Anderson University,Anderson,IN,40.112768,-85.664315,0.0,495,21.994571118,42555.0,0.6502,0.028,0.078
178600,Ball State University,Muncie,IN,40.203431,-85.409043,0.0,3775,20.629952896,23783.0,0.6478,0.067,0.053
178700,Bethel University,Mishawaka,IN,41.678399,-86.194686,0.0,428,24.841352406,39450.0,0.9233,0.047,0.067
178800,Butler University,Indianapolis,IN,39.8374,-86.172167,0.0,680,19.714285714,56406.0,0.6783,0.012,0.028
183400,Calumet College of Saint Joseph,Whiting,IN,41.671008,-87.494123,0.0,211,24.577720207,22470.0,,0.115,0.147
178900,Christian Theological Seminary,Indianapolis,IN,39.832673,-86.178551,0.0,PrivacySuppressed,,,,0.0,0.028
2615800,College of Court Reporting Inc,Valparaiso,IN,41.467574,-87.066331,1.0,92,34.548571429,35682.0,,0.068,0.062
2087600,Concordia Theological Seminary,Fort Wayne,IN,41.139321,-85.10994,0.0,PrivacySuppressed,,,,0.0,0.021
1150500,Tricoci University of Beauty Culture-Highland,Highland,IN,41.555885,-87.467018,0.0,177,24.483333333,,,0.095,0.125
179200,DePauw University,Greencastle,IN,39.640904,-86.860363,0.0,299,19.544861338,62567.0,0.626,0.027,0.02
2164300,Don Roberts School of Hair Design,Schererville,IN,41.485532,-87.447089,0.0,29,28.677966102,,,0.022,0.064
2158800,Don Roberts Beauty School,Valparaiso,IN,41.472714,-87.077791,0.0,11,26.322580645,,,0.03,
179300,Earlham College,Richmond,IN,39.823431,-84.915037,0.0,200,19.548387097,58618.0,0.6522,0.024,0.074
179500,University of Evansville,Evansville,IN,37.971549,-87.531644,0.0,421,20.501925546,48967.0,0.6948,0.044,0.033
179800,Franklin College,Franklin,IN,39.478298,-86.047182,0.0,324,19.87283237,43230.0,0.7544,0.021,0.052
179900,Goshen College,Goshen,IN,41.563582,-85.827795,0.0,188,23.461538462,44481.0,0.6603,0.04,0.024
180000,Grace College and Theological Seminary,Winona Lake,IN,41.22595,-85.814228,0.0,454,22.888888889,33677.0,0.8179,0.023,0.026
180100,Hanover College,Hanover,IN,38.715642,-85.460051,0.0,233,19.609053498,50450.0,0.7934,0.016,0.046
951500,J Michael Harrold Beauty Academy,Terre Haute,IN,39.470359,-87.383391,0.0,55,24.87012987,,,0.109,0.041
726300,Holy Cross College,Notre Dame,IN,41.698996,-86.253822,0.0,135,21.069078947,43289.0,0.8827,0.079,0.098
2241700,PJ's College of Cosmetology-Clarksville,Clarksville,IN,38.3121,-85.768914,0.0,78,25.016949153,,,0.168,0.088
180300,Huntington University,Huntington,IN,40.898152,-85.497317,0.0,231,21.992874109,36938.0,0.8319,0.03,0.032
991700,Ivy Tech Community College,Indianapolis,IN,39.803753,-86.158213,0.0,25859,25.871937395,11812.0,,0.173,0.178
182800,Purdue University Fort Wayne,Fort Wayne,IN,41.117278,-85.108962,0.0,1946,21.684561892,18073.0,0.9661,0.075,0.075
181300,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,39.772948,-86.172217,0.0,5491,22.085192487,20704.0,0.8112,0.077,0.059
180400,University of Indianapolis,Indianapolis,IN,39.709571,-86.133969,0.0,1096,21.897593204,41632.0,0.6891,0.042,0.059
180500,Indiana Institute of Technology,Fort Wayne,IN,41.078365,-85.116479,0.0,3123,30.794661863,39903.0,0.6318,0.076,0.256
180800,University of Southern Indiana,Evansville,IN,37.962374,-87.677214,0.0,1872,21.177040517,18952.0,0.9458,0.078,0.05
180700,Indiana State University,Terre Haute,IN,39.469073,-87.407846,0.0,3087,22.284472673,21619.0,0.8991,0.077,0.136
181400,Indiana University-Kokomo,Kokomo,IN,40.460062,-86.132048,0.0,792,24.432778489,15444.0,0.7999,0.112,0.084
181600,Indiana University-South Bend,South Bend,IN,41.665324,-86.221991,0.0,1347,22.313692946,16231.0,0.819,0.13,0.081
180900,Indiana University-Bloomington,Bloomington,IN,39.16609,-86.526559,0.0,4832,19.985051316,24326.0,0.7691,0.05,0.036
181500,Indiana University-Northwest,Gary,IN,41.557324,-87.337249,0.0,1024,23.533370412,13960.0,0.7961,0.108,0.097
181700,Indiana University-Southeast,New Albany,IN,38.345191,-85.819985,0.0,1426,22.978371501,15838.0,0.8508,0.107,0.073
181100,Indiana University-East,Richmond,IN,39.868707,-84.881923,0.0,995,26.242600116,15674.0,0.6488,0.175,0.09
457902,International Business College-Fort Wayne,Fort Wayne,IN,41.035006,-85.257786,0.0,429,21.055693069,22956.0,0.6627,0.057,0.081
457900,International Business College-Indianapolis,Indianapolis,IN,39.885628,-86.041648,0.0,429,21.055693069,21858.0,0.772,0.057,0.081
